                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1034,                 51.552,                 4.2299,                      0,                      0,                      0,                      0,                 0.3592,                 88.321,                0.20524,                      0,                      0,                      0
                      2,                 5.0787,                 116.07,                 2.8078,                      0,                      0,                      0,                      0,                0.35874,                 88.336,                0.20501,             1.6615e-05,             1.6615e-05,             1.6615e-05
                      3,                 1.0581,                 113.48,                0.61393,                      0,                      0,                      0,                      0,                0.35831,                  88.39,                 0.2048,              3.312e-05,              3.312e-05,              3.312e-05
                      4,                  7.155,                 76.279,                 4.2397,                      0,                      0,                      0,                      0,                  0.358,                 88.433,                0.20465,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      5,                 4.9772,                 112.94,                  3.315,                      0,                      0,                      0,                      0,                0.35771,                 88.472,                0.20451,               6.58e-05,               6.58e-05,               6.58e-05
                      6,                 1.0183,                 109.89,                0.59708,                      0,                      0,                      0,                      0,                0.35738,                 88.541,                0.20435,             8.1975e-05,             8.1975e-05,             8.1975e-05
                      7,                 7.0248,                 44.309,                 4.2344,                      0,                      0,                      0,                      0,                0.35717,                 88.626,                0.20426,              9.804e-05,              9.804e-05,              9.804e-05
                      8,                0.27368,                 107.93,                0.15739,                      0,                      0,                      0,                      0,                 0.3571,                 88.673,                0.20422,             0.00011399,             0.00011399,             0.00011399
                      9,                0.59244,                 107.42,                0.33936,                      0,                      0,                      0,                      0,                0.35706,                 88.723,                0.20421,             0.00012984,             0.00012984,             0.00012984
                     10,                0.19907,                 105.98,                0.11453,                      0,                      0,                      0,                      0,                 0.3571,                 88.765,                0.20424,             0.00014557,             0.00014557,             0.00014557
                     11,                 7.1867,                 102.13,                 4.2731,                      0,                      0,                      0,                      0,                0.35726,                  88.79,                0.20432,              0.0001612,              0.0001612,              0.0001612
                     12,                  5.603,                 107.13,                 3.2912,                      0,                      0,                      0,                      0,                0.35765,                 88.821,                0.20452,             0.00017671,             0.00017671,             0.00017671
                     13,                0.30284,                  102.4,                0.17281,                      0,                      0,                      0,                      0,                0.35818,                 88.823,                 0.2048,             0.00019212,             0.00019212,             0.00019212
                     14,                0.07303,                 101.21,                0.04178,                      0,                      0,                      0,                      0,                0.35878,                 88.813,                0.20511,             0.00020741,             0.00020741,             0.00020741
                     15,                0.05856,                 99.805,                0.03279,                      0,                      0,                      0,                      0,                0.35949,                  88.78,                0.20548,              0.0002226,              0.0002226,              0.0002226
                     16,                 7.0626,                 30.477,                  4.128,                      0,                      0,                      0,                      0,                0.36097,                 88.728,                0.20624,             0.00023767,             0.00023767,             0.00023767
                     17,                 3.4787,                 97.399,                 1.9798,                      0,                      0,                      0,                      0,                 0.3628,                 88.663,                0.20718,             0.00025264,             0.00025264,             0.00025264
                     18,                0.45977,                 94.266,                0.26249,                      0,                      0,                      0,                      0,                 0.3628,                 88.663,                0.20718,             0.00026749,             0.00026749,             0.00026749
                     19,                  7.148,                 64.085,                 4.0619,                      0,                      0,                      0,                      0,                 0.3658,                 88.586,                0.20873,             0.00028224,             0.00028224,             0.00028224
                     20,                0.17253,                 92.933,                 0.0979,                      0,                      0,                      0,                      0,                 0.3658,                 88.586,                0.20873,             0.00029687,             0.00029687,             0.00029687
                     21,                 4.1489,                  95.36,                 2.3234,                      0,                      0,                      0,                      0,                0.36966,                  88.48,                 0.2107,              0.0003114,              0.0003114,              0.0003114
                     22,                 1.5303,                 91.607,                0.85491,                      0,                      0,                      0,                      0,                0.36966,                  88.48,                 0.2107,             0.00032581,             0.00032581,             0.00032581
                     23,                 7.0725,                  82.49,                 3.9284,                      0,                      0,                      0,                      0,                0.37483,                 88.293,                0.21334,             0.00034011,             0.00034011,             0.00034011
                     24,                0.16465,                 88.295,                0.09111,                      0,                      0,                      0,                      0,                0.37483,                 88.293,                0.21334,             0.00035431,             0.00035431,             0.00035431
                     25,                0.06303,                 89.276,                0.03379,                      0,                      0,                      0,                      0,                0.38113,                 87.877,                0.21652,             0.00036839,             0.00036839,             0.00036839
