                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1034,                 51.552,                 4.2299,                      0,                      0,                      0,                      0,                 0.3592,                 88.321,                0.20524,                      0,                      0,                      0
                      2,                 5.0787,                 116.07,                 2.8078,                      0,                      0,                      0,                      0,                0.35874,                 88.336,                0.20501,             1.6629e-05,             1.6629e-05,             1.6629e-05
                      3,                 1.0581,                 113.48,                0.61393,                      0,                      0,                      0,                      0,                0.35831,                  88.39,                 0.2048,             3.3175e-05,             3.3175e-05,             3.3175e-05
                      4,                  7.155,                 76.277,                 4.2397,                      0,                      0,                      0,                      0,                  0.358,                 88.433,                0.20465,             4.9639e-05,             4.9639e-05,             4.9639e-05
                      5,                 4.9776,                 112.93,                 3.3153,                      0,                      0,                      0,                      0,                0.35771,                 88.472,                0.20451,              6.602e-05,              6.602e-05,              6.602e-05
                      6,                 1.0183,                 109.88,                0.59704,                      0,                      0,                      0,                      0,                0.35738,                 88.541,                0.20435,             8.2319e-05,             8.2319e-05,             8.2319e-05
                      7,                 7.0248,                 44.308,                 4.2344,                      0,                      0,                      0,                      0,                0.35717,                 88.626,                0.20426,             9.8535e-05,             9.8535e-05,             9.8535e-05
                      8,                0.27375,                 107.93,                0.15743,                      0,                      0,                      0,                      0,                 0.3571,                 88.673,                0.20423,             0.00011467,             0.00011467,             0.00011467
                      9,                 0.5928,                 107.41,                0.33955,                      0,                      0,                      0,                      0,                0.35707,                 88.723,                0.20421,             0.00013072,             0.00013072,             0.00013072
                     10,                0.19918,                 105.97,                0.11458,                      0,                      0,                      0,                      0,                0.35711,                 88.765,                0.20424,             0.00014669,             0.00014669,             0.00014669
                     11,                 7.1866,                 102.02,                  4.286,                      0,                      0,                      0,                      0,                0.35727,                 88.785,                0.20433,             0.00016257,             0.00016257,             0.00016257
                     12,                 5.6043,                 107.11,                 3.2918,                      0,                      0,                      0,                      0,                0.35765,                 88.803,                0.20453,             0.00017838,             0.00017838,             0.00017838
                     13,                0.30291,                 102.42,                0.17288,                      0,                      0,                      0,                      0,                0.35819,                 88.822,                 0.2048,              0.0001941,              0.0001941,              0.0001941
                     14,                0.07286,                  101.2,                0.04176,                      0,                      0,                      0,                      0,                0.35878,                 88.811,                0.20511,             0.00020974,             0.00020974,             0.00020974
                     15,                0.05841,                  99.81,                 0.0327,                      0,                      0,                      0,                      0,                0.35949,                 88.779,                0.20547,             0.00022529,             0.00022529,             0.00022529
                     16,                 7.0624,                 30.491,                 4.1307,                      0,                      0,                      0,                      0,                0.36097,                 88.721,                0.20624,             0.00024077,             0.00024077,             0.00024077
                     17,                 3.4592,                 97.279,                  1.969,                      0,                      0,                      0,                      0,                0.36282,                 88.636,                0.20719,             0.00025616,             0.00025616,             0.00025616
                     18,                0.45701,                 94.159,                0.26078,                      0,                      0,                      0,                      0,                0.36282,                 88.636,                0.20719,             0.00027147,             0.00027147,             0.00027147
                     19,                 7.1478,                 64.113,                 4.0578,                      0,                      0,                      0,                      0,                0.36585,                 88.566,                0.20875,             0.00028669,             0.00028669,             0.00028669
                     20,                 0.1705,                 92.908,                0.09672,                      0,                      0,                      0,                      0,                0.36585,                 88.566,                0.20875,             0.00030184,             0.00030184,             0.00030184
                     21,                 4.1844,                 95.283,                 2.3448,                      0,                      0,                      0,                      0,                0.36972,                 88.459,                0.21073,              0.0003169,              0.0003169,              0.0003169
                     22,                 1.4734,                 91.243,                0.82396,                      0,                      0,                      0,                      0,                0.36972,                 88.459,                0.21073,             0.00033188,             0.00033188,             0.00033188
                     23,                 7.0732,                 83.158,                 3.9302,                      0,                      0,                      0,                      0,                0.37494,                 88.282,                0.21339,             0.00034677,             0.00034677,             0.00034677
