                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33978,                 113.34,                 0.1946,                      0,                      0,                      0,                      0,                0.05208,                 115.69,                0.02945,                      0,                      0,                      0
                      2,                0.31716,                 114.99,                0.18454,                      0,                      0,                      0,                      0,                  0.052,                 115.71,                0.02942,             1.6642e-05,             1.6642e-05,             1.6642e-05
                      3,                0.86803,                 112.87,                  0.507,                      0,                      0,                      0,                      0,                0.05267,                 115.79,                 0.0298,              3.323e-05,              3.323e-05,              3.323e-05
                      4,                 7.1573,                 96.536,                 4.2624,                      0,                      0,                      0,                      0,                0.05261,                 115.85,                0.02977,             4.9762e-05,             4.9762e-05,             4.9762e-05
                      5,                 1.1609,                 111.25,                0.67091,                      0,                      0,                      0,                      0,                0.05257,                 115.91,                0.02975,              6.624e-05,              6.624e-05,              6.624e-05
                      6,                0.96097,                 110.06,                0.55559,                      0,                      0,                      0,                      0,                0.05255,                 116.03,                0.02974,             8.2662e-05,             8.2662e-05,             8.2662e-05
                      7,                 1.5356,                 109.27,                0.88594,                      0,                      0,                      0,                      0,                0.05256,                  116.1,                0.02975,              9.903e-05,              9.903e-05,              9.903e-05
                      8,                0.32455,                 108.14,                0.18617,                      0,                      0,                      0,                      0,                 0.0526,                 116.16,                0.02977,             0.00011534,             0.00011534,             0.00011534
                      9,                0.82521,                 107.94,                0.47453,                      0,                      0,                      0,                      0,                0.05264,                 116.25,                0.02979,              0.0001316,              0.0001316,              0.0001316
                     10,                0.75147,                 106.81,                0.42997,                      0,                      0,                      0,                      0,                0.05273,                 116.29,                0.02983,              0.0001478,              0.0001478,              0.0001478
                     11,                0.27045,                 105.13,                0.15344,                      0,                      0,                      0,                      0,                0.05284,                 116.31,                0.02989,             0.00016395,             0.00016395,             0.00016395
                     12,                 1.5215,                 105.21,                0.86459,                      0,                      0,                      0,                      0,                0.05302,                 116.34,                0.02998,             0.00018004,             0.00018004,             0.00018004
                     13,                 1.7168,                 103.18,                0.96774,                      0,                      0,                      0,                      0,                0.05328,                 116.36,                0.03011,             0.00019608,             0.00019608,             0.00019608
                     14,                 2.7035,                 101.78,                 1.5304,                      0,                      0,                      0,                      0,                0.05362,                 116.32,                0.03028,             0.00021206,             0.00021206,             0.00021206
                     15,                0.51893,                 99.232,                0.28613,                      0,                      0,                      0,                      0,                0.05404,                 116.28,                0.03048,             0.00022799,             0.00022799,             0.00022799
                     16,                 7.1343,                 102.17,                  3.971,                      0,                      0,                      0,                      0,                0.05457,                  116.2,                0.03075,             0.00024386,             0.00024386,             0.00024386
                     17,                 1.1421,                 97.989,                0.62609,                      0,                      0,                      0,                      0,                0.05524,                 116.08,                0.03107,             0.00025968,             0.00025968,             0.00025968
                     18,                0.05208,                 94.947,                0.02874,                      0,                      0,                      0,                      0,                0.05524,                 116.08,                0.03107,             0.00027544,             0.00027544,             0.00027544
                     19,                 5.1368,                 96.935,                 2.8062,                      0,                      0,                      0,                      0,                0.05644,                 115.96,                0.03167,             0.00029115,             0.00029115,             0.00029115
                     20,                 2.3199,                  93.03,                   1.24,                      0,                      0,                      0,                      0,                0.05644,                 115.96,                0.03167,              0.0003068,              0.0003068,              0.0003068
                     21,                 1.1291,                 93.682,                0.63684,                      0,                      0,                      0,                      0,                0.05799,                  115.7,                0.03244,              0.0003224,              0.0003224,              0.0003224
                     22,                  3.073,                 93.089,                 1.6279,                      0,                      0,                      0,                      0,                0.05799,                  115.7,                0.03244,             0.00033794,             0.00033794,             0.00033794
                     23,                0.55333,                 91.842,                0.28989,                      0,                      0,                      0,                      0,                0.05991,                 115.25,                0.03338,             0.00035343,             0.00035343,             0.00035343
                     24,                 1.6368,                 89.595,                0.84118,                      0,                      0,                      0,                      0,                0.05991,                 115.25,                0.03338,             0.00036886,             0.00036886,             0.00036886
                     25,                0.22244,                 88.914,                0.11736,                      0,                      0,                      0,                      0,                0.06239,                 114.38,                 0.0346,             0.00038424,             0.00038424,             0.00038424
                     26,                 3.5491,                 88.936,                 1.8854,                      0,                      0,                      0,                      0,                0.06239,                 114.38,                 0.0346,             0.00039956,             0.00039956,             0.00039956
                     27,                 1.8364,                 89.021,                0.97034,                      0,                      0,                      0,                      0,                0.06557,                 113.04,                0.03615,             0.00041483,             0.00041483,             0.00041483
                     28,                 1.4604,                 86.405,                0.74275,                      0,                      0,                      0,                      0,                0.06557,                 113.04,                0.03615,             0.00043004,             0.00043004,             0.00043004
                     29,                 6.7119,                 88.869,                 3.3847,                      0,                      0,                      0,                      0,                0.06997,                 111.49,                0.03828,              0.0004452,              0.0004452,              0.0004452
                     30,                 4.2589,                 86.353,                 2.1106,                      0,                      0,                      0,                      0,                0.06997,                 111.49,                0.03828,              0.0004603,              0.0004603,              0.0004603
                     31,                0.85241,                 83.147,                0.44155,                      0,                      0,                      0,                      0,                0.07605,                 109.67,                0.04121,             0.00047535,             0.00047535,             0.00047535
                     32,                 3.5248,                 84.993,                 1.7511,                      0,                      0,                      0,                      0,                0.07605,                 109.67,                0.04121,             0.00049034,             0.00049034,             0.00049034
                     33,                 7.1657,                 59.993,                 3.4209,                      0,                      0,                      0,                      0,                0.08528,                 107.53,                0.04563,             0.00050527,             0.00050527,             0.00050527
                     34,                 2.6363,                 82.809,                 1.2502,                      0,                      0,                      0,                      0,                0.08528,                 107.53,                0.04563,             0.00052016,             0.00052016,             0.00052016
