                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 7.1224,                 75.866,                 4.0332,                      0,                      0,                      0,                      0,                 0.7173,                 74.164,                0.38072,             0.00060367,             0.00060367,             0.00060367
                     40,                 7.0525,                 45.854,                 3.3366,                      0,                      0,                      0,                      0,                 0.7173,                 74.164,                0.38072,             0.00061875,             0.00061875,             0.00061875
                     41,                0.36383,                 77.159,                0.18233,                      0,                      0,                      0,                      0,                0.89038,                 71.582,                0.46261,             0.00063379,             0.00063379,             0.00063379
                     42,                 6.9671,                 58.083,                 3.2641,                      0,                      0,                      0,                      0,                0.89038,                 71.582,                0.46261,             0.00064879,             0.00064879,             0.00064879
                     43,                 7.0287,                 29.405,                 3.1661,                      0,                      0,                      0,                      0,                 1.1034,                 67.187,                0.56143,             0.00066375,             0.00066375,             0.00066375
                     44,                  6.691,                 12.035,                 3.1406,                      0,                      0,                      0,                      0,                 1.1034,                 67.187,                0.56143,             0.00067867,             0.00067867,             0.00067867
                     45,                 6.7647,                 15.729,                 3.0028,                      0,                      0,                      0,                      0,                 1.2392,                 63.248,                0.62337,             0.00069354,             0.00069354,             0.00069354
                     46,                 6.7747,                 19.252,                 2.9843,                      0,                      0,                      0,                      0,                 1.2392,                 63.248,                0.62337,             0.00070838,             0.00070838,             0.00070838
                     47,                 6.9043,                 24.508,                 2.8718,                      0,                      0,                      0,                      0,                  1.317,                 60.963,                0.65809,             0.00072317,             0.00072317,             0.00072317
                     48,                 6.7805,                  18.02,                 2.7391,                      0,                      0,                      0,                      0,                  1.317,                 60.963,                0.65809,             0.00073792,             0.00073792,             0.00073792
                     49,                 5.3294,                 7.4943,                 2.3948,                      0,                      0,                      0,                      0,                0.96385,                 59.905,                  0.494,             0.00075263,             0.00075263,             0.00075263
                     50,                  5.983,                 12.512,                 2.6896,                      0,                      0,                      0,                      0,                0.96385,                 59.905,                  0.494,              0.0007673,              0.0007673,              0.0007673
                     51,                 4.5718,                 6.7521,                 2.4811,                      0,                      0,                      0,                      0,                0.94182,                 60.956,                0.48351,             0.00078193,             0.00078193,             0.00078193
                     52,                 5.8301,                 7.8159,                 2.5405,                      0,                      0,                      0,                      0,                0.94182,                 60.956,                0.48351,             0.00079651,             0.00079651,             0.00079651
                     53,                 5.2998,                 6.1069,                 2.3165,                      0,                      0,                      0,                      0,                0.94182,                 60.956,                0.48351,             0.00081106,             0.00081106,             0.00081106
                     54,                 5.7142,                 13.833,                 2.9374,                      0,                      0,                      0,                      0,                 1.9499,                 64.983,                 0.9423,             0.00082556,             0.00082556,             0.00082556
                     55,                 4.3238,                 5.7424,                  2.294,                      0,                      0,                      0,                      0,                 1.9499,                 64.983,                 0.9423,             0.00084003,             0.00084003,             0.00084003
                     56,                 5.1933,                 5.4438,                 2.2991,                      0,                      0,                      0,                      0,                 1.9499,                 64.983,                 0.9423,             0.00085445,             0.00085445,             0.00085445
                     57,                 5.9528,                 7.4726,                 2.6413,                      0,                      0,                      0,                      0,                 1.4846,                 65.489,                0.73657,             0.00086883,             0.00086883,             0.00086883
                     58,                 5.1911,                  6.199,                 2.1776,                      0,                      0,                      0,                      0,                 1.4846,                 65.489,                0.73657,             0.00088317,             0.00088317,             0.00088317
                     59,                 5.1709,                   6.19,                 2.4467,                      0,                      0,                      0,                      0,                 1.4846,                 65.489,                0.73657,             0.00089746,             0.00089746,             0.00089746
                     60,                  4.625,                  5.227,                  2.305,                      0,                      0,                      0,                      0,                 1.2464,                 65.947,                0.63194,             0.00091172,             0.00091172,             0.00091172
                     61,                 5.4381,                 5.7797,                 2.2056,                      0,                      0,                      0,                      0,                 1.2464,                 65.947,                0.63194,             0.00092594,             0.00092594,             0.00092594
                     62,                 5.0983,                 5.7564,                 2.2669,                      0,                      0,                      0,                      0,                 1.2464,                 65.947,                0.63194,             0.00094011,             0.00094011,             0.00094011
                     63,                 5.4539,                 5.3675,                 2.2281,                      0,                      0,                      0,                      0,                0.62926,                 61.933,                0.34045,             0.00095424,             0.00095424,             0.00095424
                     64,                 4.0185,                 5.2617,                 1.8244,                      0,                      0,                      0,                      0,                0.62926,                 61.933,                0.34045,             0.00096833,             0.00096833,             0.00096833
                     65,                 4.7607,                 5.3546,                 2.2654,                      0,                      0,                      0,                      0,                0.62926,                 61.933,                0.34045,             0.00098238,             0.00098238,             0.00098238
                     66,                 4.4551,                 4.5022,                 2.1406,                      0,                      0,                      0,                      0,                0.24756,                 55.335,                 0.1446,             0.00099639,             0.00099639,             0.00099639
                     67,                 4.6085,                 5.0034,                 1.9083,                      0,                      0,                      0,                      0,                0.24756,                 55.335,                 0.1446,              0.0010104,              0.0010104,              0.0010104
                     68,                 4.4784,                 4.4383,                 1.9025,                      0,                      0,                      0,                      0,                0.24756,                 55.335,                 0.1446,              0.0010243,              0.0010243,              0.0010243
                     69,                 4.1909,                 4.3723,                 1.7988,                      0,                      0,                      0,                      0,                0.06441,                 49.935,                0.04233,              0.0010382,              0.0010382,              0.0010382
                     70,                 4.4544,                 4.3605,                 1.9607,                      0,                      0,                      0,                      0,                0.06441,                 49.935,                0.04233,               0.001052,               0.001052,               0.001052
                     71,                 4.9216,                 4.4746,                 2.0838,                      0,                      0,                      0,                      0,                0.06441,                 49.935,                0.04233,              0.0010658,              0.0010658,              0.0010658
                     72,                 4.9705,                 4.6036,                 1.8278,                      0,                      0,                      0,                      0,                0.01282,                 46.126,                0.01076,              0.0010796,              0.0010796,              0.0010796
                     73,                 4.7479,                 4.1886,                 1.8298,                      0,                      0,                      0,                      0,                0.01282,                 46.126,                0.01076,              0.0010933,              0.0010933,              0.0010933
                     74,                 4.8726,                 3.8675,                 1.8798,                      0,                      0,                      0,                      0,                0.01282,                 46.126,                0.01076,               0.001107,               0.001107,               0.001107
                     75,                 4.0271,                 3.7943,                 1.6846,                      0,                      0,                      0,                      0,                0.00503,                  44.93,                0.00577,              0.0011206,              0.0011206,              0.0011206
                     76,                 4.6662,                 4.0287,                 1.9399,                      0,                      0,                      0,                      0,                0.00503,                  44.93,                0.00577,              0.0011342,              0.0011342,              0.0011342
                     77,                  4.285,                 3.8221,                 1.8657,                      0,                      0,                      0,                      0,                0.00503,                  44.93,                0.00577,              0.0011478,              0.0011478,              0.0011478
                     78,                 4.2184,                 3.6031,                 1.9568,                      0,                      0,                      0,                      0,                0.00467,                 46.039,                0.00565,              0.0011613,              0.0011613,              0.0011613
                     79,                 4.6698,                 4.0043,                 1.8486,                      0,                      0,                      0,                      0,                0.00467,                 46.039,                0.00565,              0.0011748,              0.0011748,              0.0011748
                     80,                 4.3929,                 3.5978,                 1.7513,                      0,                      0,                      0,                      0,                0.00467,                 46.039,                0.00565,              0.0011882,              0.0011882,              0.0011882
                     81,                 5.4498,                 4.8752,                 2.1316,                      0,                      0,                      0,                      0,                0.00687,                  45.82,                0.00705,              0.0012016,              0.0012016,              0.0012016
                     82,                  4.503,                 3.3178,                 1.6494,                      0,                      0,                      0,                      0,                0.00687,                  45.82,                0.00705,              0.0012149,              0.0012149,              0.0012149
                     83,                 4.2874,                 3.2575,                 1.6328,                      0,                      0,                      0,                      0,                0.00687,                  45.82,                0.00705,              0.0012282,              0.0012282,              0.0012282
                     84,                 4.2032,                 3.5923,                 1.7245,                      0,                      0,                      0,                      0,                0.01675,                 44.996,                0.01257,              0.0012415,              0.0012415,              0.0012415
                     85,                 4.0703,                 3.1984,                 1.3866,                      0,                      0,                      0,                      0,                0.01675,                 44.996,                0.01257,              0.0012547,              0.0012547,              0.0012547
                     86,                 4.3712,                 3.1909,                 1.6788,                      0,                      0,                      0,                      0,                0.01675,                 44.996,                0.01257,              0.0012679,              0.0012679,              0.0012679
                     87,                 4.1453,                 3.0708,                  1.615,                      0,                      0,                      0,                      0,                0.01675,                 44.996,                0.01257,               0.001281,               0.001281,               0.001281
                     88,                 4.4511,                 3.4967,                 1.6787,                      0,                      0,                      0,                      0,                0.05124,                 44.962,                0.03217,              0.0012941,              0.0012941,              0.0012941
                     89,                 3.8829,                 2.7263,                 1.4229,                      0,                      0,                      0,                      0,                0.05124,                 44.962,                0.03217,              0.0013072,              0.0013072,              0.0013072
                     90,                 4.2075,                 2.8802,                 1.3636,                      0,                      0,                      0,                      0,                0.05124,                 44.962,                0.03217,              0.0013202,              0.0013202,              0.0013202
                     91,                  4.743,                 2.9846,                 1.7049,                      0,                      0,                      0,                      0,                0.05124,                 44.962,                0.03217,              0.0013332,              0.0013332,              0.0013332
                     92,                 4.2044,                 2.9483,                 1.6245,                      0,                      0,                      0,                      0,                0.11879,                 46.077,                0.07123,              0.0013461,              0.0013461,              0.0013461
                     93,                 4.0387,                 2.7434,                  1.485,                      0,                      0,                      0,                      0,                0.11879,                 46.077,                0.07123,               0.001359,               0.001359,               0.001359
                     94,                 4.2976,                 2.9088,                 1.4644,                      0,                      0,                      0,                      0,                0.11879,                 46.077,                0.07123,              0.0013719,              0.0013719,              0.0013719
                     95,                 4.4567,                 2.8628,                 1.5101,                      0,                      0,                      0,                      0,                0.11879,                 46.077,                0.07123,              0.0013847,              0.0013847,              0.0013847
                     96,                 4.1681,                 2.8885,                 1.5233,                      0,                      0,                      0,                      0,                0.40335,                  48.36,                0.21177,              0.0013975,              0.0013975,              0.0013975
                     97,                 3.8293,                 2.7337,                 1.3096,                      0,                      0,                      0,                      0,                0.40335,                  48.36,                0.21177,              0.0014102,              0.0014102,              0.0014102
                     98,                 4.5576,                 2.8045,                  1.503,                      0,                      0,                      0,                      0,                0.40335,                  48.36,                0.21177,              0.0014229,              0.0014229,              0.0014229
                     99,                 4.5704,                 2.6251,                  1.458,                      0,                      0,                      0,                      0,                0.40335,                  48.36,                0.21177,              0.0014355,              0.0014355,              0.0014355
                    100,                 4.6191,                 2.9385,                 1.4838,                0.00565,                0.01865,                0.00563,                0.00129,                 4.4734,                 5.0269,                 1.6389,              0.0014481,              0.0014481,              0.0014481
                    101,                 4.2846,                  2.695,                  1.342,                0.00565,                0.01865,                0.00563,                0.00129,                 4.4734,                 5.0269,                 1.6389,              0.0014607,              0.0014607,              0.0014607
                    102,                 4.1294,                 2.5359,                 1.3983,                0.00565,                0.01865,                0.00563,                0.00129,                 4.4734,                 5.0269,                 1.6389,              0.0014586,              0.0014586,              0.0014586
                    103,                 3.8868,                 2.4942,                 1.3329,                0.00565,                0.01865,                0.00563,                0.00129,                 4.4734,                 5.0269,                 1.6389,              0.0014566,              0.0014566,              0.0014566
                    104,                 4.4728,                 2.8478,                 1.5005,                0.05941,                0.01563,                0.01104,                0.00295,                 4.3091,                 3.3502,                 1.5003,              0.0014545,              0.0014545,              0.0014545
                    105,                 4.1225,                  2.533,                 1.3239,                0.05941,                0.01563,                0.01104,                0.00295,                 4.3091,                 3.3502,                 1.5003,              0.0014525,              0.0014525,              0.0014525
                    106,                 4.1209,                 2.5536,                 1.3911,                0.05941,                0.01563,                0.01104,                0.00295,                 4.3091,                 3.3502,                 1.5003,              0.0014504,              0.0014504,              0.0014504
                    107,                 4.1876,                 2.5574,                  1.287,                0.05941,                0.01563,                0.01104,                0.00295,                 4.3091,                 3.3502,                 1.5003,              0.0014483,              0.0014483,              0.0014483
                    108,                 4.3279,                 2.8023,                 1.6496,                0.06769,                0.03305,                0.01749,                0.00376,                   4.44,                  3.145,                 1.4415,              0.0014463,              0.0014463,              0.0014463
                    109,                 4.0876,                 2.5307,                 1.3477,                0.06769,                0.03305,                0.01749,                0.00376,                   4.44,                  3.145,                 1.4415,              0.0014442,              0.0014442,              0.0014442
                    110,                 4.2108,                 2.5273,                 1.3526,                0.06769,                0.03305,                0.01749,                0.00376,                   4.44,                  3.145,                 1.4415,              0.0014421,              0.0014421,              0.0014421
                    111,                 4.2298,                 2.5578,                 1.3177,                0.06769,                0.03305,                0.01749,                0.00376,                   4.44,                  3.145,                 1.4415,              0.0014401,              0.0014401,              0.0014401
                    112,                 4.2343,                 2.5194,                 1.2971,                0.08413,                0.04647,                 0.0213,                0.00408,                  4.405,                 2.8916,                 1.3693,               0.001438,               0.001438,               0.001438
                    113,                 4.4273,                 2.4802,                 1.2884,                0.08413,                0.04647,                 0.0213,                0.00408,                  4.405,                 2.8916,                 1.3693,               0.001436,               0.001436,               0.001436
                    114,                 3.7924,                  2.443,                 1.3242,                0.08413,                0.04647,                 0.0213,                0.00408,                  4.405,                 2.8916,                 1.3693,              0.0014339,              0.0014339,              0.0014339
                    115,                 4.1041,                 2.6208,                 1.4476,                0.08413,                0.04647,                 0.0213,                0.00408,                  4.405,                 2.8916,                 1.3693,              0.0014318,              0.0014318,              0.0014318
                    116,                 4.1493,                 2.4915,                 1.4105,                0.09085,                0.04747,                0.02473,                0.00554,                 4.2879,                 2.7767,                  1.341,              0.0014298,              0.0014298,              0.0014298
                    117,                  3.902,                  2.354,                 1.3022,                0.09085,                0.04747,                0.02473,                0.00554,                 4.2879,                 2.7767,                  1.341,              0.0014277,              0.0014277,              0.0014277
                    118,                 4.5665,                 2.3889,                  1.297,                0.09085,                0.04747,                0.02473,                0.00554,                 4.2879,                 2.7767,                  1.341,              0.0014256,              0.0014256,              0.0014256
                    119,                 4.1704,                  2.472,                 1.3902,                0.09085,                0.04747,                0.02473,                0.00554,                 4.2879,                 2.7767,                  1.341,              0.0014236,              0.0014236,              0.0014236
                    120,                 4.3622,                 2.3766,                 1.3981,                0.02838,                0.05364,                0.01214,                0.00272,                 4.3328,                 3.2998,                 1.3425,              0.0014215,              0.0014215,              0.0014215
                    121,                 4.0908,                  2.293,                 1.2646,                0.02838,                0.05364,                0.01214,                0.00272,                 4.3328,                 3.2998,                 1.3425,              0.0014195,              0.0014195,              0.0014195
                    122,                 4.0362,                 2.2856,                 1.2355,                0.02838,                0.05364,                0.01214,                0.00272,                 4.3328,                 3.2998,                 1.3425,              0.0014174,              0.0014174,              0.0014174
                    123,                 4.2637,                 2.3769,                 1.3687,                0.02838,                0.05364,                0.01214,                0.00272,                 4.3328,                 3.2998,                 1.3425,              0.0014153,              0.0014153,              0.0014153
                    124,                 4.1505,                 2.3926,                 1.3149,                0.08024,                0.08363,                0.02928,                 0.0071,                 4.0793,                 2.8415,                 1.3092,              0.0014133,              0.0014133,              0.0014133
                    125,                 4.4046,                 2.6562,                 1.2695,                0.08024,                0.08363,                0.02928,                 0.0071,                 4.0793,                 2.8415,                 1.3092,              0.0014112,              0.0014112,              0.0014112
                    126,                 4.2214,                 2.4085,                 1.2972,                0.08024,                0.08363,                0.02928,                 0.0071,                 4.0793,                 2.8415,                 1.3092,              0.0014091,              0.0014091,              0.0014091
                    127,                 4.1972,                 2.4582,                 1.2918,                0.08024,                0.08363,                0.02928,                 0.0071,                 4.0793,                 2.8415,                 1.3092,              0.0014071,              0.0014071,              0.0014071
                    128,                 4.3925,                 2.3355,                 1.1989,                0.06411,                0.10469,                0.02949,                0.00617,                 4.0632,                 2.6982,                 1.2903,               0.001405,               0.001405,               0.001405
                    129,                 4.0994,                 2.5014,                 1.5244,                0.06411,                0.10469,                0.02949,                0.00617,                 4.0632,                 2.6982,                 1.2903,              0.0014029,              0.0014029,              0.0014029
                    130,                  3.991,                 2.4972,                 1.3844,                0.06411,                0.10469,                0.02949,                0.00617,                 4.0632,                 2.6982,                 1.2903,              0.0014009,              0.0014009,              0.0014009
                    131,                 4.1566,                  2.259,                 1.2342,                0.06411,                0.10469,                0.02949,                0.00617,                 4.0632,                 2.6982,                 1.2903,              0.0013988,              0.0013988,              0.0013988
                    132,                 4.2155,                 2.3547,                 1.2914,                0.06258,                0.17367,                0.03175,                0.00759,                 3.9943,                 2.4189,                 1.2773,              0.0013968,              0.0013968,              0.0013968
                    133,                 3.8391,                 2.3841,                 1.3165,                0.06258,                0.17367,                0.03175,                0.00759,                 3.9943,                 2.4189,                 1.2773,              0.0013947,              0.0013947,              0.0013947
