                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03907,                 73.158,                0.02206,                      0,                      0,                      0,                      0,                0.03849,                 56.673,                 0.0218,                      0,                      0,                      0
                      2,                0.03937,                 73.074,                0.02277,                      0,                      0,                      0,                      0,                0.03844,                 56.683,                0.02178,             1.6642e-05,             1.6642e-05,             1.6642e-05
                      3,                0.19073,                 73.052,                0.11045,                      0,                      0,                      0,                      0,                0.03839,                 56.718,                0.02175,              3.323e-05,              3.323e-05,              3.323e-05
                      4,                 4.7017,                 74.232,                  2.803,                      0,                      0,                      0,                      0,                0.03835,                 56.746,                0.02173,             4.9762e-05,             4.9762e-05,             4.9762e-05
                      5,                0.62177,                 71.024,                0.36074,                      0,                      0,                      0,                      0,                0.03832,                 56.772,                0.02172,              6.624e-05,              6.624e-05,              6.624e-05
                      6,                0.11265,                 70.443,                0.06555,                      0,                      0,                      0,                      0,                0.03829,                 56.832,                 0.0217,             8.2662e-05,             8.2662e-05,             8.2662e-05
                      7,                0.72012,                 70.367,                0.43273,                      0,                      0,                      0,                      0,                0.03825,                 56.876,                0.02169,              9.903e-05,              9.903e-05,              9.903e-05
                      8,                0.01887,                 69.695,                0.01075,                      0,                      0,                      0,                      0,                0.03822,                 56.922,                0.02167,             0.00011534,             0.00011534,             0.00011534
                      9,                0.01062,                 69.125,                0.00604,                      0,                      0,                      0,                      0,                0.03818,                 56.963,                0.02165,              0.0001316,              0.0001316,              0.0001316
                     10,                0.33102,                 68.497,                0.19242,                      0,                      0,                      0,                      0,                0.03816,                 56.993,                0.02164,              0.0001478,              0.0001478,              0.0001478
                     11,                0.12075,                 67.568,                0.06863,                      0,                      0,                      0,                      0,                0.03815,                 57.006,                0.02163,             0.00016395,             0.00016395,             0.00016395
                     12,                 2.4559,                 67.847,                 1.4203,                      0,                      0,                      0,                      0,                0.03817,                 57.005,                0.02165,             0.00018004,             0.00018004,             0.00018004
                     13,                0.49526,                 66.362,                0.28568,                      0,                      0,                      0,                      0,                0.03822,                 57.016,                0.02167,             0.00019608,             0.00019608,             0.00019608
                     14,                  4.332,                  67.55,                 2.5105,                      0,                      0,                      0,                      0,                0.03834,                 57.037,                0.02173,             0.00021206,             0.00021206,             0.00021206
                     15,                0.06978,                 63.822,                0.03956,                      0,                      0,                      0,                      0,                0.03849,                 57.036,                0.02181,             0.00022799,             0.00022799,             0.00022799
                     16,                0.64852,                 63.017,                 0.3708,                      0,                      0,                      0,                      0,                0.03867,                 57.017,                 0.0219,             0.00024386,             0.00024386,             0.00024386
                     17,                0.50454,                 61.929,                0.28315,                      0,                      0,                      0,                      0,                 0.0389,                  56.97,                0.02201,             0.00025968,             0.00025968,             0.00025968
                     18,                0.17309,                 60.716,                0.09616,                      0,                      0,                      0,                      0,                 0.0389,                  56.97,                0.02201,             0.00027544,             0.00027544,             0.00027544
                     19,                0.33839,                 60.877,                0.18816,                      0,                      0,                      0,                      0,                0.03929,                 56.914,                 0.0222,             0.00029115,             0.00029115,             0.00029115
                     20,                 1.5867,                 60.478,                0.90594,                      0,                      0,                      0,                      0,                0.03929,                 56.914,                 0.0222,              0.0003068,              0.0003068,              0.0003068
                     21,                0.04935,                 59.791,                 0.0271,                      0,                      0,                      0,                      0,                0.03981,                 56.783,                0.02246,              0.0003224,              0.0003224,              0.0003224
                     22,                0.01899,                 58.245,                0.01048,                      0,                      0,                      0,                      0,                0.03981,                 56.783,                0.02246,             0.00033794,             0.00033794,             0.00033794
                     23,                0.33705,                 58.085,                0.18929,                      0,                      0,                      0,                      0,                0.04044,                 56.571,                0.02277,             0.00035343,             0.00035343,             0.00035343
                     24,                0.45708,                 57.767,                0.24908,                      0,                      0,                      0,                      0,                0.04044,                 56.571,                0.02277,             0.00036886,             0.00036886,             0.00036886
