                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2685,                 90.207,                 1.2907,                      0,                      0,                      0,                      0,                0.02768,                 135.26,                0.01566,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.23234,                 87.269,                0.13517,                      0,                      0,                      0,                      0,                0.02755,                 135.53,                0.01559,             8.3212e-05,             8.3212e-05,             8.3212e-05
                      3,                0.37071,                  85.53,                0.20788,                      0,                      0,                      0,                      0,                0.02741,                 135.85,                0.01552,             0.00013292,             0.00013292,             0.00013292
                      4,                 2.2027,                 84.586,                 1.2954,                      0,                      0,                      0,                      0,                0.02733,                    136,                0.01548,             0.00018246,             0.00018246,             0.00018246
                      5,                 1.8142,                 81.481,                 1.0511,                      0,                      0,                      0,                      0,                0.02734,                 135.96,                0.01549,             0.00023184,             0.00023184,             0.00023184
                      6,                0.38285,                 77.395,                0.21491,                      0,                      0,                      0,                      0,                 0.0274,                 135.79,                0.01552,             0.00028105,             0.00028105,             0.00028105
                      7,                 0.3289,                 74.992,                0.18885,                      0,                      0,                      0,                      0,                0.02753,                 135.38,                0.01559,              0.0003301,              0.0003301,              0.0003301
                      8,                 0.8621,                 73.333,                 0.4997,                      0,                      0,                      0,                      0,                0.02769,                    135,                0.01566,             0.00037898,             0.00037898,             0.00037898
                      9,                0.04375,                 70.561,                0.02432,                      0,                      0,                      0,                      0,                0.02807,                 133.05,                0.01585,              0.0004277,              0.0004277,              0.0004277
                     10,                0.15086,                 68.188,                0.08337,                      0,                      0,                      0,                      0,                0.02832,                 131.37,                0.01597,             0.00047625,             0.00047625,             0.00047625
                     11,                 1.3244,                 66.697,                0.71269,                      0,                      0,                      0,                      0,                0.02836,                 125.17,                0.01597,             0.00052464,             0.00052464,             0.00052464
                     12,                0.31557,                 64.055,                0.17486,                      0,                      0,                      0,                      0,                0.02784,                 121.17,                0.01569,             0.00057286,             0.00057286,             0.00057286
                     13,                0.77466,                 62.869,                0.40484,                      0,                      0,                      0,                      0,                0.02556,                 110.71,                0.01447,             0.00062092,             0.00062092,             0.00062092
                     14,                0.20348,                 60.776,                0.11383,                      0,                      0,                      0,                      0,                0.02371,                 106.65,                0.01349,             0.00066881,             0.00066881,             0.00066881
                     15,                0.04745,                 59.872,                0.02302,                      0,                      0,                      0,                      0,                0.02021,                 102.53,                0.01161,             0.00071654,             0.00071654,             0.00071654
                     16,                0.03819,                 58.153,                 0.0212,                      0,                      0,                      0,                      0,                0.01846,                 91.732,                0.01067,              0.0007641,              0.0007641,              0.0007641
                     17,                 2.0128,                 58.069,                0.97163,                      0,                      0,                      0,                      0,                0.01557,                 74.209,                 0.0091,              0.0008115,              0.0008115,              0.0008115
                     18,                 2.3472,                 57.688,                 0.8938,                      0,                      0,                      0,                      0,                0.01479,                 70.361,                0.00869,             0.00085873,             0.00085873,             0.00085873
                     19,                 1.9244,                 56.731,                0.84422,                      0,                      0,                      0,                      0,                0.01512,                  72.74,                0.00887,             0.00090579,             0.00090579,             0.00090579
                     20,                 4.7701,                 33.863,                  1.844,                      0,                      0,                      0,                      0,                0.01706,                 76.388,                0.00988,              0.0009527,              0.0009527,              0.0009527
                     21,                  4.248,                 29.047,                 1.6246,                      0,                      0,                      0,                      0,                0.01992,                 81.248,                0.01136,             0.00099943,             0.00099943,             0.00099943
                     22,                 5.8881,                 12.702,                  2.596,                      0,                      0,                      0,                      0,                0.02247,                 85.496,                0.01269,               0.001046,               0.001046,               0.001046
                     23,                 3.8834,                 7.6587,                 1.8836,                      0,                      0,                      0,                      0,                0.02082,                 88.518,                0.01191,              0.0010924,              0.0010924,              0.0010924
                     24,                 4.1454,                 10.245,                 1.6945,                      0,                      0,                      0,                      0,                0.02113,                 92.466,                 0.0121,              0.0011387,              0.0011387,              0.0011387
                     25,                 5.6351,                 8.4858,                 2.5678,                      0,                      0,                      0,                      0,                0.02319,                 93.766,                0.01314,              0.0011847,              0.0011847,              0.0011847
                     26,                 3.9077,                 6.1642,                 1.5267,                      0,                      0,                      0,                      0,                0.02584,                 93.742,                0.01444,              0.0012306,              0.0012306,              0.0012306
