                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54806,                 69.333,                0.31934,                      0,                      0,                      0,                      0,                0.05482,                 140.54,                  0.031,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                0.51858,                 68.485,                0.30538,                      0,                      0,                      0,                      0,                0.05467,                 140.67,                0.03093,             4.9927e-05,             4.9927e-05,             4.9927e-05
                      3,                0.30102,                  67.29,                0.17319,                      0,                      0,                      0,                      0,                0.05457,                 140.82,                0.03088,             8.3075e-05,             8.3075e-05,             8.3075e-05
                      4,                0.29527,                 66.342,                0.17129,                      0,                      0,                      0,                      0,                0.05456,                 141.08,                0.03088,             0.00011611,             0.00011611,             0.00011611
                      5,                  3.593,                 37.937,                 2.0906,                      0,                      0,                      0,                      0,                0.05462,                 141.28,                0.03091,             0.00014904,             0.00014904,             0.00014904
                      6,                 0.5835,                 64.395,                0.33578,                      0,                      0,                      0,                      0,                0.05481,                  141.4,                  0.031,             0.00018186,             0.00018186,             0.00018186
                      7,                0.75518,                 63.129,                0.43079,                      0,                      0,                      0,                      0,                0.05513,                 141.42,                0.03116,             0.00021456,             0.00021456,             0.00021456
                      8,                0.08448,                 61.548,                0.04727,                      0,                      0,                      0,                      0,                0.05556,                  141.3,                0.03137,             0.00024716,             0.00024716,             0.00024716
                      9,                0.46442,                 59.825,                0.26793,                      0,                      0,                      0,                      0,                0.05582,                 141.18,                 0.0315,             0.00027965,             0.00027965,             0.00027965
                     10,                 1.0312,                 59.098,                0.58343,                      0,                      0,                      0,                      0,                0.05637,                 141.02,                0.03177,             0.00031203,             0.00031203,             0.00031203
                     11,                0.28363,                 57.531,                0.15715,                      0,                      0,                      0,                      0,                 0.0571,                 140.75,                0.03213,             0.00034429,             0.00034429,             0.00034429
                     12,                  1.765,                 57.632,                 0.9924,                      0,                      0,                      0,                      0,                0.05816,                 140.24,                0.03265,             0.00037645,             0.00037645,             0.00037645
                     13,                0.54311,                 55.639,                0.29802,                      0,                      0,                      0,                      0,                0.05943,                  139.3,                0.03326,              0.0004085,              0.0004085,              0.0004085
                     14,                 1.1183,                 55.288,                0.61171,                      0,                      0,                      0,                      0,                0.06134,                 137.86,                 0.0342,             0.00044044,             0.00044044,             0.00044044
                     15,                0.22143,                 52.324,                0.12021,                      0,                      0,                      0,                      0,                0.06384,                 135.84,                0.03541,             0.00047226,             0.00047226,             0.00047226
                     16,                 2.4715,                  52.05,                 1.3515,                      0,                      0,                      0,                      0,                0.06744,                 133.17,                0.03717,             0.00050398,             0.00050398,             0.00050398
                     17,                0.97255,                 51.188,                0.50317,                      0,                      0,                      0,                      0,                 0.0732,                 129.62,                0.03997,             0.00053559,             0.00053559,             0.00053559
                     18,                 2.3179,                  51.05,                 1.1917,                      0,                      0,                      0,                      0,                0.08269,                 125.16,                0.04454,             0.00056708,             0.00056708,             0.00056708
